copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0033635,Development / SIT Deployment / QA Deployment : ix Multiline Discount Orchestration dependency Orch items dependency - SAL-84323,OrchestrationItemDefinition.MultiLine Discount Charge - Wireless Orchestration (MultiLine Discount Charge - Wireless Orchestration_Wireless Orchestration),OrchestrationItemDefinition,,,Potential Conflict,,2025-10-08T06:44:32.000+0000,,aC2Pl000000FC8vKAG_OrchestrationItemDefinition.MultiLine Discount Charge - Wireless Orchestration (MultiLine Discount Charge - Wireless Orchestration_Wireless Orchestration),2025-10-08T06:44:32.000+0000,Shubham Mehta,2025-10-08T06:44:33.000+0000,Shubham Mehta,Shubham Mehta,SAL-84323
US-0033635,Development / SIT Deployment / QA Deployment : ix Multiline Discount Orchestration dependency Orch items dependency - SAL-84323,OrchestrationItemDefinition.Send Communication to User (Send Communication to User_Send Communication to User),OrchestrationItemDefinition,,,,,2025-10-08T06:44:32.000+0000,,aC2Pl000000FC8vKAG_OrchestrationItemDefinition.Send Communication to User (Send Communication to User_Send Communication to User),2025-10-08T06:44:32.000+0000,Shubham Mehta,2025-10-08T06:44:32.000+0000,Shubham Mehta,Shubham Mehta,SAL-84323
US-0033635,Development / SIT Deployment / QA Deployment : ix Multiline Discount Orchestration dependency Orch items dependency - SAL-84323,OrchestrationItemDefinition.MultiLine Discount Charge - Wireless Orchestration for Delete Lines Postpaid (MultiLine Discount Charge - Wireless Orchestration for Delete Lines Postpaid_Wireless Orchestration for Delete Lines Postpaid),OrchestrationItemDefinition,,,Potential Conflict,,2025-10-08T06:44:32.000+0000,,aC2Pl000000FC8vKAG_OrchestrationItemDefinition.MultiLine Discount Charge - Wireless Orchestration for Delete Lines Postpaid (MultiLine Discount Charge - Wireless Orchestration for Delete Lines Postpaid_Wireless Orchestration for Delete Lines Postpaid),2025-10-08T06:44:32.000+0000,Shubham Mehta,2025-10-08T06:44:33.000+0000,Shubham Mehta,Shubham Mehta,SAL-84323
US-0033635,Development / SIT Deployment / QA Deployment : ix Multiline Discount Orchestration dependency Orch items dependency - SAL-84323,OrchestrationItemDefinition.MultiLine Discount Charge - Wireless Orchestration Buy Flow (MultiLine Discount Charge - Wireless Orchestration Buy Flow_Wireless Orchestration Buy Flow),OrchestrationItemDefinition,,,Potential Conflict,,2025-10-08T06:44:32.000+0000,,aC2Pl000000FC8vKAG_OrchestrationItemDefinition.MultiLine Discount Charge - Wireless Orchestration Buy Flow (MultiLine Discount Charge - Wireless Orchestration Buy Flow_Wireless Orchestration Buy Flow),2025-10-08T06:44:32.000+0000,Shubham Mehta,2025-10-08T06:44:33.000+0000,Shubham Mehta,Shubham Mehta,SAL-84323
US-0033635,Development / SIT Deployment / QA Deployment : ix Multiline Discount Orchestration dependency Orch items dependency - SAL-84323,OrchestrationDependencyDefinition.MRC Discount Charge - Wireless Orches Buy Flow -- Send Communication to User (556b7d3d-0b9b-68c3-8678-bf5ff6fdce68),OrchestrationDependencyDefinition,,,,,2025-10-08T06:44:32.000+0000,,aC2Pl000000FC8vKAG_OrchestrationDependencyDefinition.MRC Discount Charge - Wireless Orches Buy Flow -- Send Communication to User (556b7d3d-0b9b-68c3-8678-bf5ff6fdce68),2025-10-08T06:44:32.000+0000,Shubham Mehta,2025-10-08T06:44:32.000+0000,Shubham Mehta,Shubham Mehta,SAL-84323
US-0033635,Development / SIT Deployment / QA Deployment : ix Multiline Discount Orchestration dependency Orch items dependency - SAL-84323,OrchestrationDependencyDefinition.MultiLine Discount Charge - Wireless Orche --  Send Communication to User (2f303821-5f7f-b6e9-3303-f8b8b878a1fc),OrchestrationDependencyDefinition,,,,,2025-10-08T06:44:32.000+0000,,aC2Pl000000FC8vKAG_OrchestrationDependencyDefinition.MultiLine Discount Charge - Wireless Orche --  Send Communication to User (2f303821-5f7f-b6e9-3303-f8b8b878a1fc),2025-10-08T06:44:32.000+0000,Shubham Mehta,2025-10-08T06:44:32.000+0000,Shubham Mehta,Shubham Mehta,SAL-84323
US-0033665,POS Boost Stores - SAL-84390,CustomField.PR_Summary_Information__mdt.PR_Payment_Type__c,CustomField,,,,,2025-10-08T09:55:49.000+0000,,aC2Pl000000FE7VKAW_CustomField.PR_Summary_Information__mdt.PR_Payment_Type__c,2025-10-08T09:55:49.000+0000,nandhini govindasamy,2025-10-08T09:55:49.000+0000,nandhini govindasamy,nandhini govindasamy,SAL-84390
US-0033665,POS Boost Stores - SAL-84390,CustomMetadata.PR_Summary_Information.PMobilePrepaidConnectionAR,CustomMetadata,,,,,2025-10-08T09:55:49.000+0000,,aC2Pl000000FE7VKAW_CustomMetadata.PR_Summary_Information.PMobilePrepaidConnectionAR,2025-10-08T09:55:49.000+0000,nandhini govindasamy,2025-10-08T09:55:49.000+0000,nandhini govindasamy,nandhini govindasamy,SAL-84390
US-0033665,POS Boost Stores - SAL-84390,CustomField.PR_Summary_Information__mdt.PR_Store_Type__c,CustomField,,,,,2025-10-08T09:55:49.000+0000,,aC2Pl000000FE7VKAW_CustomField.PR_Summary_Information__mdt.PR_Store_Type__c,2025-10-08T09:55:49.000+0000,nandhini govindasamy,2025-10-08T09:55:49.000+0000,nandhini govindasamy,nandhini govindasamy,SAL-84390
US-0033665,POS Boost Stores - SAL-84390,CustomField.PR_Summary_Information__mdt.PR_DisplayIn_c__c,CustomField,,,,,2025-10-08T09:55:49.000+0000,,aC2Pl000000FE7VKAW_CustomField.PR_Summary_Information__mdt.PR_DisplayIn_c__c,2025-10-08T09:55:49.000+0000,nandhini govindasamy,2025-10-08T09:55:49.000+0000,nandhini govindasamy,nandhini govindasamy,SAL-84390
